                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                0.65615,                 1.0189,                 1.0655,                0.94729,                0.96296,                0.98534,                0.85431,                0.55826,                 1.0609,                0.97596,             0.00057778,             0.00057778,             0.00057778
                     68,                0.67952,                 0.9071,                 1.1021,                0.94729,                0.96296,                0.98534,                0.85431,                0.55826,                 1.0609,                0.97596,             0.00056128,             0.00056128,             0.00056128
                     69,                0.66898,                0.94691,                 1.0448,                0.95833,                0.96296,                0.98394,                0.86844,                0.52873,                 1.0074,                 0.9719,             0.00054478,             0.00054478,             0.00054478
                     70,                0.62428,                0.93003,                 1.0488,                0.95833,                0.96296,                0.98394,                0.86844,                0.52873,                 1.0074,                 0.9719,             0.00052827,             0.00052827,             0.00052827
                     71,                0.61931,                0.92501,                 1.1219,                0.89645,                0.94444,                0.97769,                0.86283,                0.50199,                 1.0184,                0.95568,             0.00051177,             0.00051177,             0.00051177
                     72,                0.59908,                0.90809,                 1.0507,                0.89645,                0.94444,                0.97769,                0.86283,                0.50199,                 1.0184,                0.95568,             0.00049527,             0.00049527,             0.00049527
                     73,                0.74717,                 1.0796,                 1.1148,                0.90318,                0.94078,                0.97417,                0.84635,                0.51368,                 1.0485,                0.95703,             0.00047876,             0.00047876,             0.00047876
                     74,                 0.6348,                0.92897,                 1.1515,                0.90318,                0.94078,                0.97417,                0.84635,                0.51368,                 1.0485,                0.95703,             0.00046226,             0.00046226,             0.00046226
                     75,                0.63966,                0.86786,                 1.0244,                0.88746,                0.90741,                0.95865,                0.85741,                0.51565,                 1.0791,                0.95365,             0.00044576,             0.00044576,             0.00044576
                     76,                 0.6116,                0.84162,                 1.0553,                0.88746,                0.90741,                0.95865,                0.85741,                0.51565,                 1.0791,                0.95365,             0.00042925,             0.00042925,             0.00042925
                     77,                0.65789,                0.94675,                 1.1255,                0.89901,                0.85084,                0.95018,                0.85655,                0.50718,                 1.0867,                0.96178,             0.00041275,             0.00041275,             0.00041275
                     78,                0.60504,                0.88798,                 1.0216,                0.89901,                0.85084,                0.95018,                0.85655,                0.50718,                 1.0867,                0.96178,             0.00039625,             0.00039625,             0.00039625
                     79,                0.59185,                0.89652,                 1.0438,                0.91645,                0.84752,                0.95957,                0.87968,                0.48718,                 1.0678,                0.95118,             0.00037974,             0.00037974,             0.00037974
                     80,                0.60095,                0.82998,                 1.0465,                0.91645,                0.84752,                0.95957,                0.87968,                0.48718,                 1.0678,                0.95118,             0.00036324,             0.00036324,             0.00036324
                     81,                0.62421,                0.86282,                 1.0336,                0.94609,                0.91924,                0.97978,                0.90256,                0.46583,                0.95663,                0.93628,             0.00034674,             0.00034674,             0.00034674
                     82,                0.57875,                0.81098,                 1.0544,                0.94609,                0.91924,                0.97978,                0.90256,                0.46583,                0.95663,                0.93628,             0.00033023,             0.00033023,             0.00033023
                     83,                 0.5831,                0.88239,                 1.0507,                0.96802,                0.97236,                0.99243,                0.92356,                 0.4439,                0.85465,                0.91405,             0.00031373,             0.00031373,             0.00031373
                     84,                0.56462,                0.76419,                 1.0344,                0.96802,                0.97236,                0.99243,                0.92356,                 0.4439,                0.85465,                0.91405,             0.00029723,             0.00029723,             0.00029723
                     85,                0.52667,                0.80903,                0.97469,                0.98997,                0.97672,                0.99446,                0.92097,                0.42098,                0.79205,                0.89259,             0.00028072,             0.00028072,             0.00028072
                     86,                0.63033,                0.91922,                 1.0336,                0.98997,                0.97672,                0.99446,                0.92097,                0.42098,                0.79205,                0.89259,             0.00026422,             0.00026422,             0.00026422
                     87,                0.53335,                0.81635,                0.99211,                0.99251,                0.99379,                  0.995,                0.92539,                0.39364,                0.74864,                 0.8744,             0.00024772,             0.00024772,             0.00024772
